Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Home_PPDA,Away_PPDA
10/11/18,Ath Madrid,Ath Bilbao,3,2,H,0,1,A,José Sánchez,9,6,3,5,8,15,12,2,5,4,0,1,1.44,4.0,9.0,10.654,9.455
10/11/18,Getafe,Valencia,0,1,A,0,0,D,Ricardo de Burgos,17,7,3,3,23,8,6,4,3,3,1,0,2.75,3.1,2.75,10.355,7.176
10/11/18,Girona,Leganes,0,0,D,0,0,D,Adrián Cordero,5,10,0,1,13,13,0,6,1,4,0,0,2.04,3.2,3.75,12.333,18.25
10/11/18,Valladolid,Eibar,0,0,D,0,0,D,Guillermo Cuadra,9,16,1,6,16,15,4,4,2,4,0,1,2.3,3.3,3.25,10.722,7.031
11/11/18,Alaves,Huesca,2,1,H,1,1,D,José Luis Munuera,13,9,5,2,20,13,5,4,3,4,0,0,1.8,3.6,4.33,6.444,9.158
11/11/18,Barcelona,Betis,3,4,A,0,2,A,Antonio Matéu Lahoz,20,15,5,8,13,11,10,5,4,2,1,0,1.18,7.0,13.0,6.579,15.222
11/11/18,Celta,Real Madrid,2,4,A,0,1,A,Alberto Undiano,15,14,4,5,19,13,5,1,4,2,1,0,5.0,4.5,1.55,9.2,12.4
11/11/18,Sevilla,Espanol,2,1,H,0,1,A,Santiago Jaime,23,15,10,7,18,10,6,3,4,2,0,0,1.75,3.6,4.5,9.31,8.2
11/11/18,Vallecano,Villarreal,2,2,D,1,1,D,José González,15,11,7,5,7,12,8,4,1,3,0,1,3.1,3.4,2.25,10.0,8.083
23/11/18,Leganes,Alaves,1,0,H,1,0,H,Hsu Jason,13,7,6,2,10,13,5,3,2,4,0,0,2.2,3.1,3.6,9.609,8.0
24/11/18,Ath Madrid,Barcelona,1,1,D,0,0,D,Jesús Gil,3,8,1,2,19,12,2,8,5,3,0,0,3.0,3.3,2.37,13.387,6.909
24/11/18,Eibar,Real Madrid,3,0,H,1,0,H,Juan Martínez,14,9,8,3,17,8,5,4,2,1,0,0,6.0,4.33,1.53,11.182,7.737
24/11/18,Huesca,Levante,2,2,D,1,1,D,Daniel Ask,32,5,12,3,11,8,7,2,4,3,1,0,2.25,3.4,3.25,6.531,14.333
24/11/18,Valencia,Vallecano,3,0,H,1,0,H,Pablo González,13,13,10,3,15,14,6,5,2,4,0,1,1.44,4.5,7.5,7.514,7.909
25/11/18,Ath Bilbao,Getafe,1,1,D,0,0,D,Ignacio Iglesias,8,15,4,2,10,12,2,2,5,4,0,0,2.04,3.3,3.9,5.043,14.05
25/11/18,Espanol,Girona,1,3,A,0,2,A,Alejandro Hernández,18,16,10,11,16,14,8,3,3,4,0,0,1.66,3.6,5.75,8.0,19.0
25/11/18,Sevilla,Valladolid,1,0,H,1,0,H,Carlos del Cerro,17,13,9,5,15,15,8,6,3,3,0,0,1.4,4.75,8.0,11.909,9.185
25/11/18,Villarreal,Betis,2,1,H,0,0,D,Eduardo Prieto,13,13,8,6,15,13,5,4,2,1,0,0,2.14,3.4,3.4,15.148,9.818
