Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
29/11/15,Sevilla,Valencia,1,0,H,0,0,D,Carlos Velasco,15,0,5,0,26,20,17,0,3,2,0,2,1.75,4.0,4.33
29/11/15,Vallecano,Ath Bilbao,0,3,A,0,2,A,Alejandro Hernández,15,10,3,4,16,14,6,2,4,0,0,1,3.1,3.4,2.3
05/12/15,Betis,Celta,1,1,D,0,1,A,Alejandro Hernández,27,5,6,1,9,16,8,0,5,5,0,1,3.3,3.5,2.15
05/12/15,Granada,Ath Madrid,0,2,A,0,1,A,Eduardo Prieto,18,11,3,4,7,8,6,8,2,1,0,0,7.0,3.75,1.57
05/12/15,La Coruna,Sevilla,1,1,D,1,0,H,Ricardo de Burgos,8,8,4,2,10,9,6,2,2,3,0,0,3.0,3.3,2.4
05/12/15,Real Madrid,Getafe,4,1,H,4,0,H,Antonio Matéu Lahoz,16,7,8,3,9,12,3,4,1,0,0,0,1.1,11.0,21.0
05/12/15,Valencia,Barcelona,1,1,D,0,0,D,Santiago Jaime,10,16,3,5,13,15,0,6,3,1,0,0,9.0,6.0,1.3
06/12/15,Ath Bilbao,Malaga,0,0,D,0,0,D,Alfonso Álvarez,11,7,2,2,7,21,6,1,2,3,1,0,1.45,4.33,7.5
06/12/15,Sociedad,Eibar,2,1,H,1,1,D,Mario Melero,10,5,7,1,12,16,4,3,3,3,0,0,1.85,3.5,4.5
06/12/15,Sp Gijon,Las Palmas,3,1,H,1,1,D,Alberto Undiano,21,12,9,7,9,10,8,4,2,1,0,1,2.3,3.3,3.25
06/12/15,Villarreal,Vallecano,2,1,H,0,1,A,Daniel Ask,14,8,5,4,16,14,5,4,1,4,0,0,1.57,3.8,6.5
07/12/15,Espanol,Levante,1,1,D,0,1,A,Carlos Velasco,9,12,1,5,13,14,2,6,4,5,0,0,2.0,3.5,3.8
11/12/15,Getafe,Sociedad,1,1,D,0,0,D,Pedro Pérez,9,10,5,6,15,12,5,5,3,3,0,0,2.88,3.2,2.6
12/12/15,Barcelona,La Coruna,2,2,D,1,0,H,José Sánchez,17,13,7,4,4,11,6,2,0,2,0,0,1.07,13.0,26.0
12/12/15,Celta,Espanol,1,0,H,1,0,H,David Fernández,16,6,3,2,13,23,4,9,3,2,1,0,1.53,4.33,6.0
12/12/15,Las Palmas,Betis,1,0,H,0,0,D,Jesús Gil,16,8,4,2,10,9,2,2,3,0,0,0,2.15,3.3,3.5
12/12/15,Levante,Granada,1,2,A,0,0,D,Iñaki Bikandi,7,8,5,3,25,27,2,1,2,2,0,0,2.1,3.1,4.0
12/12/15,Sevilla,Sp Gijon,2,0,H,0,0,D,Carlos del Cerro,18,4,7,1,13,10,3,1,3,2,0,1,1.36,5.0,8.5
