Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,Season,Home_EMA_Points,Home_EMA_GS,Home_EMA_GC,Away_EMA_Points,Away_EMA_GS,Away_EMA_GC,Home_Expected_Offense,Away_Expected_Offense,Target
2015-10-04,Ath Bilbao,Valencia,3,1,H,16,9,7,4,11,4,15-16,0.6296296296296297,0.6666666666666667,1.2510288065843624,1.6419753086419755,0.49794238683127573,0.28806584362139925,0.0,0.0,2
2015-10-04,Ath Madrid,Real Madrid,1,1,D,18,9,4,2,5,1,15-16,1.7037037037037042,1.1687242798353912,0.5308641975308642,2.0699588477366255,1.5144032921810704,0.22222222222222224,0.0,0.0,1
2015-10-04,Levante,Villarreal,1,0,H,15,3,5,2,8,2,15-16,0.3868312757201647,0.8230452674897121,2.3991769547325106,2.7366255144032925,1.6255144032921813,0.44444444444444453,0.0,0.0,2
2015-10-04,Vallecano,Betis,0,2,A,23,9,9,6,8,3,15-16,1.2427983539094651,1.3580246913580247,1.7160493827160497,1.5761316872427986,1.1193415637860082,1.2386831275720167,0.0,0.0,0
2015-10-17,Real Madrid,Levante,3,0,H,20,15,6,5,4,4,15-16,1.7133058984910838,1.3429355281207136,0.4814814814814815,1.2578875171467765,0.8820301783264748,1.5994513031550073,0.0,0.0,2
2015-10-17,Valencia,Malaga,3,0,H,6,10,3,3,6,8,15-16,1.0946502057613172,0.6652949245541838,1.1920438957475996,1.375857338820302,1.0,0.6241426611796983,0.0,0.0,2
2015-10-17,Betis,Espanol,1,3,A,21,13,6,4,4,3,15-16,2.0507544581618657,1.412894375857339,0.8257887517146779,1.0041152263374489,0.9094650205761319,2.0576131687242802,0.0,0.0,0
2015-10-17,Eibar,Sevilla,1,1,D,14,15,4,5,2,5,15-16,1.8312757201646093,1.5363511659807958,0.8038408779149522,1.8203017832647463,1.4979423868312758,1.469135802469136,0.0,0.0,1
2015-10-17,Barcelona,Vallecano,5,2,H,14,22,9,8,7,10,15-16,1.5555555555555558,1.584362139917696,1.646090534979424,0.8285322359396435,0.9053497942386832,1.8106995884773665,0.0,0.0,2
2015-10-18,Villarreal,Celta,1,2,A,12,13,3,2,7,4,15-16,1.8244170096021952,1.0836762688614543,0.6296296296296297,1.7572016460905355,1.5171467764060362,0.7544581618655696,0.0,0.0,0
2015-10-18,La Coruna,Ath Bilbao,2,2,D,16,7,3,2,4,6,15-16,1.7736625514403295,1.7352537722908097,0.8875171467764063,1.4197530864197532,1.4444444444444446,1.1673525377229084,0.0,0.0,1
2015-10-18,Getafe,Las Palmas,4,0,H,14,16,7,3,5,1,15-16,1.2962962962962965,0.8751714677640605,0.6694101508916327,0.5541838134430729,0.7160493827160496,1.4951989026063102,0.0,0.0,2
2015-10-18,Sociedad,Ath Madrid,0,2,A,11,7,1,3,5,2,15-16,0.7983539094650206,0.9753086419753088,1.3621399176954734,1.469135802469136,1.1124828532235942,0.6872427983539096,0.0,0.0,0
2015-10-19,Sp Gijon,Granada,3,3,D,16,14,6,7,6,1,15-16,1.4279835390946505,1.3333333333333335,1.337448559670782,0.4650205761316873,0.5747599451303156,1.6035665294924557,0.0,0.0,1
2015-10-23,Vallecano,Espanol,3,0,H,13,9,7,3,6,5,15-16,0.5523548239597624,1.2702331961591222,2.8737997256515775,1.6694101508916326,1.6063100137174213,1.705075445816187,0.0,0.0,2
2015-10-24,Celta,Real Madrid,1,3,A,17,14,7,8,5,7,15-16,2.171467764060357,1.6780978509373576,0.8363054412437131,2.1422039323273894,1.8952903520804758,0.3209876543209877,0.0,0.0,0
2015-10-24,Granada,Betis,1,1,D,17,7,7,2,3,3,15-16,0.6433470507544582,1.3831732967535437,2.0690443529949705,1.3671696387745773,1.275262917238226,1.550525834476452,0.0,0.0,1
2015-10-24,Malaga,La Coruna,2,0,H,9,10,4,1,3,5,15-16,0.9172382258802014,0.6666666666666667,1.4160951074531323,1.5157750342935532,1.82350251486054,1.2583447645176042,0.0,0.0,2
2015-10-24,Sevilla,Getafe,5,0,H,22,6,13,0,7,3,15-16,1.546867855509831,1.3319615912208507,1.3127572016460909,1.8641975308641978,1.9167809785093737,0.4462734339277552,0.0,0.0,2
2015-10-25,Levante,Sociedad,0,4,A,13,13,3,6,10,3,15-16,0.8385916780978511,0.5880201188843166,2.066300868770005,0.5322359396433471,0.6502057613168726,1.5747599451303156,0.0,0.0,0
2015-10-25,Las Palmas,Villarreal,0,0,D,6,5,2,0,6,6,15-16,0.3694558756287153,0.4773662551440331,2.33013260173754,1.2162780064014636,1.0557841792409697,1.0864197530864197,0.0,0.0,1
2015-10-25,Barcelona,Eibar,3,1,H,14,7,5,5,6,2,15-16,2.037037037037037,2.722908093278464,1.7640603566529494,1.554183813443073,1.3575674439871972,0.8692272519433015,0.0,0.0,2
2015-10-25,Ath Madrid,Valencia,2,1,H,16,6,8,1,9,2,15-16,1.9794238683127574,1.408321902149063,0.4581618655692731,1.7297668038408782,1.4435299497027894,0.7946959304983998,0.0,0.0,2
2015-10-26,Ath Bilbao,Sp Gijon,3,0,H,20,6,6,0,9,3,15-16,1.2798353909465021,1.6296296296296298,1.4449016918152724,1.2853223593964338,1.888888888888889,1.8916323731138547,0.0,0.0,2
2015-10-30,La Coruna,Ath Madrid,1,1,D,7,12,3,3,1,5,15-16,1.0105166895290356,1.21566834324036,1.5055631763450696,2.319615912208505,1.605547934766042,0.638774577046182,0.0,0.0,1
2015-10-31,Getafe,Barcelona,0,2,A,6,14,0,6,3,5,15-16,1.2427983539094654,1.2778539856729159,1.96418228928517,2.358024691358025,2.8152720621856426,1.5093735711019665,0.0,0.0,0
2015-10-31,Real Madrid,Las Palmas,3,1,H,17,8,11,5,6,3,15-16,2.4281359548849264,2.263526901386984,0.5473251028806585,0.5796372504191435,0.31824417009602207,1.5534217344916936,0.0,0.0,2
2015-10-31,Sociedad,Celta,2,3,A,20,16,5,8,8,7,15-16,1.3548239597622316,1.766803840877915,1.0498399634202105,1.4476451760402382,1.4520652339582385,1.557536960829142,0.0,0.0,0
2015-10-31,Villarreal,Sevilla,2,1,H,11,6,5,3,7,5,15-16,1.1441853376009758,0.7038561194939799,0.7242798353909465,2.031245237006554,2.5546410608139003,0.8751714677640607,0.0,0.0,2
2015-10-31,Valencia,Levante,3,0,H,13,10,6,5,5,5,15-16,1.1531778692272523,1.295686633135193,1.1964639536655999,0.5590611187319008,0.3920134125895444,2.71086724584667,0.0,0.0,2
