Player,Team,Assists,Matches Played,Coefficient,xA,Season
Brais Méndez,Celta,7,31,0.23,,18-19
A. Vidal,Barcelona,7,33,0.21,,18-19
Dani Parejo,Valencia,7,36,0.19,,18-19
L. Suárez,Barcelona,6,33,0.18,,18-19
Adrián Embarba,Vallecano,6,36,0.17,,18-19
K. Benzema,Real Madrid,6,36,0.17,,18-19
Luka Modrić,Real Madrid,6,34,0.18,,18-19
J. Mata,Getafe,6,34,0.18,,18-19
Óscar Melendo,Espanol,6,32,0.19,,18-19
Rodrigo Moreno,Valencia,6,33,0.18,,18-19
Carlos Soler,Valencia,6,31,0.19,,18-19
Koke,Ath Madrid,6,30,0.2,,18-19
Cristian Tello,Betis,6,29,0.21,,18-19
Iago Aspas,Celta,6,27,0.22,,18-19
Willian José,Sociedad,5,31,0.16,,18-19
Jorge Molina,Getafe,5,38,0.13,,18-19
Morales,Levante,5,37,0.14,,18-19
Maxi Gómez,Celta,5,35,0.14,,18-19
Sergi Enrich,Eibar,5,35,0.14,,18-19
Ivan Rakitić,Barcelona,5,34,0.15,,18-19
Thomas,Ath Madrid,5,32,0.16,,18-19
Jesús Navas,Sevilla,5,32,0.16,,18-19
Rubén Rochina,Levante,5,27,0.19,,18-19
W. Carvalho,Betis,5,30,0.17,,18-19
Jonathan Silva,Leganes,5,30,0.17,,18-19
M. Asensio,Real Madrid,5,30,0.17,,18-19
Jason,Levante,5,30,0.17,,18-19
Santi Mina,Valencia,5,30,0.17,,18-19
O. Dembélé,Barcelona,5,29,0.17,,18-19
M. Braithwaite,Leganes,5,19,0.26,,18-19
Á. Granell,Girona,4,32,0.13,,18-19
I. Williams,Ath Bilbao,4,38,0.11,,18-19
Joan Jordán,Eibar,4,36,0.11,,18-19
E. Bardhi,Levante,4,36,0.11,,18-19
David Ferreiro,Huesca,4,35,0.11,,18-19
Pablo Fornals,Villarreal,4,35,0.11,,18-19
F. Vázquez,Sevilla,4,34,0.12,,18-19
F. Orellana,Eibar,4,33,0.12,,18-19
Óscar Plano,Valladolid,4,33,0.12,,18-19
G. Lo Celso,Betis,4,32,0.13,,18-19
F. Portillo,Getafe,4,32,0.13,,18-19
É. Banega,Sevilla,4,32,0.13,,18-19
Ibai Gómez,Ath Bilbao,4,32,0.13,,18-19
A. Guardado,Betis,4,31,0.13,,18-19
Toni Kroos,Real Madrid,4,28,0.14,,18-19
Óscar Trejo,Vallecano,4,26,0.15,,18-19
Junior Firpo,Betis,4,24,0.17,,18-19
Pedro Porro,Girona,4,32,0.13,,18-19
Iker Muniain,Ath Bilbao,3,34,0.09,,18-19
Borja García,Girona,3,33,0.09,,18-19
Enes Ünal,Valladolid,3,33,0.09,,18-19
A. Pedraza,Villarreal,3,34,0.09,,18-19
Cucho,Huesca,3,34,0.09,,18-19
Sergi Darder,Espanol,3,34,0.09,,18-19
D. Suárez,Getafe,3,36,0.08,,18-19
Sofiane Boufal,Celta,3,35,0.09,,18-19
Nacho Martínez,Valladolid,3,35,0.09,,18-19
Hugo Mallo,Celta,3,35,0.09,,18-19
Jorge Pulido,Huesca,3,32,0.09,,18-19
Ángel,Getafe,3,37,0.08,,18-19
Borja Iglesias,Espanol,3,37,0.08,,18-19
Raúl García,Ath Bilbao,3,33,0.09,,18-19
Q. Promes,Sevilla,3,33,0.09,,18-19
D. Wass,Valencia,3,32,0.09,,18-19
D. Juncà,Celta,3,21,0.14,,18-19
Óscar Rodríguez,Leganes,3,31,0.1,,18-19
A. Hjulsager,Celta,3,15,0.2,,18-19
M. Santos,Leganes,3,16,0.19,,18-19
Luca Sangalli,Sociedad,3,18,0.17,,18-19
Adnan Januzaj,Sociedad,3,20,0.15,,18-19
Manu Morlanes,Villarreal,3,10,0.3,,18-19
Iñigo Córdoba,Ath Bilbao,3,23,0.13,,18-19
V. Antunes,Getafe,3,28,0.11,,18-19
Mikel Merino,Sociedad,3,29,0.1,,18-19
G. Bale,Real Madrid,3,29,0.1,,18-19
Lucas Vázquez,Real Madrid,3,31,0.1,,18-19
G. Guedes,Valencia,3,25,0.12,,18-19
S. Longo,Huesca,2,15,0.13,,18-19
Diego Costa,Ath Madrid,2,16,0.13,,18-19
Antonio Luna,Levante,2,16,0.13,,18-19
Amath Ndiaye,Getafe,2,15,0.13,,18-19
Malcom,Barcelona,2,15,0.13,,18-19
S. Cristóforo,Getafe,2,15,0.13,,18-19
Juanpi,Huesca,2,14,0.14,,18-19
Sergio Reguilón,Real Madrid,2,14,0.14,,18-19
Á. Odriozola,Real Madrid,2,14,0.14,,18-19
Aday Benítez,Girona,2,10,0.2,,18-19
L. Olaza,Celta,2,10,0.2,,18-19
Brahim Díaz,Real Madrid,2,9,0.22,,18-19
Javi Galán,Huesca,2,16,0.13,,18-19
L. Messi,Barcelona,21,33,0.64,,19-20
Mikel Oyarzabal,Sociedad,11,37,0.3,,19-20
Santi Cazorla,Villarreal,9,35,0.26,,19-20
Rodrigo Moreno,Valencia,9,27,0.33,,19-20
L. Suárez,Barcelona,8,28,0.29,,19-20
Roberto Torres,Osasuna,8,36,0.22,,19-20
K. Benzema,Real Madrid,8,37,0.22,,19-20
Luka Modrić,Real Madrid,8,31,0.26,,19-20
Ángel Correa,Ath Madrid,7,33,0.21,,19-20
Jesús Navas,Sevilla,7,38,0.18,,19-20
Moi Gómez,Villarreal,7,37,0.19,,19-20
José Campaña,Levante,7,37,0.19,,19-20
Éver Banega,Sevilla,7,33,0.21,,19-20
Portu,Sociedad,7,35,0.2,,19-20
Nabil Fekir,Betis,7,32,0.22,,19-20
Fabián Orellana,Eibar,7,29,0.24,,19-20
Gerard Moreno,Villarreal,6,35,0.17,,19-20
Jordi Alba,Barcelona,6,27,0.22,,19-20
Eden Hazard,Real Madrid,6,16,0.38,,19-20
Sergio Canales,Betis,6,36,0.17,,19-20
Víctor Díaz,Granada,6,36,0.17,,19-20
Emerson Royal,Betis,6,33,0.18,,19-20
Martin Ødegaard,Sociedad,6,31,0.19,,19-20
Daniel Wass,Valencia,6,35,0.17,,19-20
Dani Carvajal,Real Madrid,6,31,0.19,,19-20
D. Machís,Granada,5,36,0.14,,19-20
Koke,Ath Madrid,5,32,0.16,,19-20
F. Valverde,Real Madrid,5,33,0.15,,19-20
Ferran Torres,Valencia,5,34,0.15,,19-20
Lucas Pérez,Alaves,5,34,0.15,,19-20
Toni Kroos,Real Madrid,5,35,0.14,,19-20
D. Wass,Valencia,5,35,0.14,,19-20
P. Estupiñán,Osasuna,5,36,0.14,,19-20
M. Cucurella,Getafe,5,37,0.14,,19-20
A. Griezmann,Barcelona,4,35,0.11,,19-20
Álex Moreno,Betis,4,31,0.13,,19-20
R. Soldado,Granada,4,33,0.12,,19-20
D. Suárez,Getafe,4,30,0.13,,19-20
Take Kubo,Mallorca,4,35,0.11,,19-20
Ander Capa,Ath Bilbao,4,35,0.11,,19-20
L. Olaza,Celta,4,35,0.11,,19-20
Sergi Enrich,Eibar,4,30,0.13,,19-20
Salva Sevilla,Mallorca,4,35,0.11,,19-20
Aleix Vidal,Alaves,4,29,0.14,,19-20
Rubén Rochina,Levante,4,28,0.14,,19-20
Unai López,Ath Bilbao,4,26,0.15,,19-20
K. Trippier,Ath Madrid,4,25,0.16,,19-20
Iñigo Córdoba,Ath Bilbao,4,24,0.17,,19-20
Diego Costa,Ath Madrid,4,23,0.17,,19-20
Adrián Embarba,Espanol,4,18,0.22,,19-20
Manu Trigueros,Villarreal,4,29,0.14,,19-20
J. Mata,Getafe,3,34,0.09,,19-20
Ángel,Getafe,3,32,0.09,,19-20
Lucas Ocampos,Sevilla,3,33,0.09,,19-20
Jorge Molina,Getafe,3,34,0.09,,19-20
Joaquín,Betis,3,34,0.09,,19-20
Fernando,Sevilla,3,34,0.09,,19-20
Santi Mina,Celta,3,34,0.09,,19-20
Antonio Puertas,Granada,3,36,0.08,,19-20
C. Fernández,Granada,3,34,0.09,,19-20
Casemiro,Real Madrid,3,35,0.09,,19-20
Dani Parejo,Valencia,3,35,0.09,,19-20
Ivan Rakitić,Barcelona,3,31,0.1,,19-20
Loren Morón,Betis,3,36,0.08,,19-20
Joselu,Alaves,3,36,0.08,,19-20
Iago Aspas,Celta,3,37,0.08,,19-20
S. Chukwueze,Villarreal,3,37,0.08,,19-20
Sergio Reguilón,Sevilla,3,31,0.1,,19-20
Jorge Miramón,Levante,3,32,0.09,,19-20
Y. Herrera,Granada,3,30,0.1,,19-20
Mario Gaspar,Villarreal,3,25,0.12,,19-20
G. Bale,Real Madrid,3,16,0.19,,19-20
P. De Blasis,Eibar,3,30,0.1,,19-20
Kenedy,Getafe,3,19,0.16,,19-20
Jason,Getafe,3,20,0.15,,19-20
Matías Vargas,Espanol,3,21,0.14,,19-20
Arthur,Barcelona,3,21,0.14,,19-20
Adnan Januzaj,Sociedad,3,24,0.13,,19-20
E. Hazard,Real Madrid,3,16,0.19,,19-20
J. Calleri,Espanol,3,27,0.11,,19-20
A. Guardado,Betis,3,28,0.11,,19-20
Aleix Febas,Mallorca,3,29,0.1,,19-20
Roque Mesa,Leganes,3,29,0.1,,19-20
M. Llorente,Ath Madrid,3,29,0.1,,19-20
T. Inui,Eibar,3,29,0.1,,19-20
Óliver Torres,Sevilla,3,28,0.11,,19-20
Toko Ekambi,Villarreal,2,18,0.11,,19-20
Chimy Ávila,Osasuna,2,20,0.1,,19-20
Toño García,Levante,2,20,0.1,,19-20
Xavi Quintillà,Villarreal,2,19,0.11,,19-20
Joan Sastre,Mallorca,2,19,0.11,,19-20
Marc Cardona,Osasuna,2,19,0.11,,19-20
Marcelo,Real Madrid,2,15,0.13,,19-20
Junior Firpo,Barcelona,2,17,0.12,,19-20
Z. Feddal,Betis,2,17,0.12,,19-20
F. Portillo,Getafe,2,16,0.13,,19-20
Y. Carrasco,Ath Madrid,2,15,0.13,,19-20
Riqui Puig,Barcelona,2,11,0.18,,19-20
Carles Pérez,Barcelona,2,10,0.2,,19-20
G. Guedes,Valencia,2,21,0.1,,19-20
Iago Aspas,Celta,13,33,0.39,,20-21
M. Llorente,Ath Madrid,11,37,0.3,,20-21
Toni Kroos,Real Madrid,10,28,0.36,,20-21
Y. Carrasco,Ath Madrid,10,30,0.33,,20-21
K. Benzema,Real Madrid,9,34,0.26,,20-21
Denis Suárez,Celta,9,35,0.26,,20-21
L. Messi,Barcelona,9,35,0.26,,20-21
Jorge De Frutos,Levante,9,37,0.24,,20-21
Ángel Correa,Ath Madrid,8,38,0.21,,20-21
Carlos Soler,Valencia,8,32,0.25,,20-21
M. Oyarzabal,Sociedad,8,33,0.24,,20-21
Gerard Moreno,Villarreal,7,33,0.21,,20-21
José Gayà,Valencia,7,33,0.21,,20-21
A. Griezmann,Barcelona,7,36,0.19,,20-21
Jesús Navas,Sevilla,6,34,0.18,,20-21
I. Williams,Ath Bilbao,6,38,0.16,,20-21
Joan Jordán,Sevilla,6,35,0.17,,20-21
Rodrygo,Real Madrid,6,22,0.27,,20-21
Sergio Canales,Betis,6,31,0.19,,20-21
G. Guedes,Valencia,6,31,0.19,,20-21
K. Trippier,Ath Madrid,6,28,0.21,,20-21
Nabil Fekir,Betis,5,33,0.15,,20-21
Rubén García,Osasuna,5,37,0.14,,20-21
Dani Parejo,Villarreal,5,36,0.14,,20-21
Nolito,Celta,5,36,0.14,,20-21
Sergio Busquets,Barcelona,5,36,0.14,,20-21
Óscar Plano,Valladolid,5,36,0.14,,20-21
Jordi Alba,Barcelona,5,35,0.14,,20-21
Antonio Puertas,Granada,5,35,0.14,,20-21
David Silva,Sociedad,5,21,0.24,,20-21
D. Machís,Granada,5,32,0.16,,20-21
João Félix,Ath Madrid,5,31,0.16,,20-21
Tete Morente,Elche,5,30,0.17,,20-21
Pablo Hervías,Valladolid,5,27,0.19,,20-21
Joaquín,Betis,5,27,0.19,,20-21
Lucas Vázquez,Real Madrid,5,24,0.21,,20-21
Manu Sánchez,Osasuna,5,17,0.29,,20-21
D. Foulquier,Granada,4,32,0.13,,20-21
F. De Jong,Barcelona,4,37,0.11,,20-21
David Ferreiro,Huesca,4,37,0.11,,20-21
Á. Negredo,Cadiz,4,35,0.11,,20-21
Álex Berenguer,Ath Bilbao,4,35,0.11,,20-21
Lucas Ocampos,Sevilla,4,34,0.12,,20-21
Suso,Sevilla,4,34,0.12,,20-21
Roger Martí,Levante,4,33,0.12,,20-21
Casemiro,Real Madrid,4,34,0.12,,20-21
Mikel Rico,Huesca,4,32,0.13,,20-21
Lucas Pérez,Alaves,4,28,0.14,,20-21
Adnan Januzaj,Sociedad,4,27,0.15,,20-21
P. Alcácer,Villarreal,4,27,0.15,,20-21
