Player,Team,Goals,Matches Played,Coefficient,Season,xG
Rodrigo Moreno,Valencia,4,27,0.15,19-20,
David López,Espanol,4,32,0.13,19-20,
Koke,Ath Madrid,4,32,0.13,19-20,
M. Ødegaard,Sociedad,4,31,0.13,19-20,
Rubén Rochina,Levante,4,28,0.14,19-20,
Adnan Januzaj,Sociedad,4,24,0.17,19-20,
Raúl De Tomás,Espanol,4,14,0.29,19-20,
P. Alcácer,Villarreal,4,13,0.31,19-20,
Rafinha,Celta,4,32,0.13,19-20,
Vitolo,Ath Madrid,3,28,0.11,19-20,
Luka Modrić,Real Madrid,3,31,0.1,19-20,
F. Vázquez,Sevilla,3,31,0.1,19-20,
Marc Bartra,Betis,3,30,0.1,19-20,
Aridane,Osasuna,3,29,0.1,19-20,
M. Llorente,Ath Madrid,3,29,0.1,19-20,
Vinícius,Real Madrid,3,29,0.1,19-20,
Óliver Torres,Sevilla,3,28,0.11,19-20,
A. Vadillo,Granada,3,22,0.14,19-20,
Bernardo,Espanol,3,26,0.12,19-20,
Sandro,Valladolid,3,24,0.13,19-20,
P. Bigas,Eibar,3,23,0.13,19-20,
David Timor,Getafe,3,22,0.14,19-20,
Arthur,Barcelona,3,21,0.14,19-20,
Enric Gallego,Osasuna,3,19,0.16,19-20,
Asier Villalibre,Ath Bilbao,3,19,0.16,19-20,
M. Asensio,Real Madrid,3,9,0.33,19-20,
É. Banega,Sevilla,3,33,0.09,19-20,
L. Messi,Barcelona,30,35,0.86,20-21,23.9
K. Benzema,Real Madrid,23,34,0.68,20-21,18.8
Gerard Moreno,Villarreal,23,33,0.7,20-21,19.0
L. Suárez,Ath Madrid,21,32,0.66,20-21,16.2
Y. En-Nesyri,Sevilla,18,38,0.47,20-21,16.0
Alexander Isak,Sociedad,16,34,0.47,20-21,16.8
Iago Aspas,Celta,14,33,0.42,20-21,12.4
A. Griezmann,Barcelona,13,36,0.36,20-21,12.1
Morales,Levante,13,38,0.34,20-21,7.2
Rafa Mir,Huesca,13,38,0.34,20-21,15.4
Santi Mina,Celta,12,34,0.35,20-21,9.2
Kike García,Eibar,12,37,0.32,20-21,10.9
Roger Martí,Levante,12,33,0.36,20-21,9.7
M. Llorente,Ath Madrid,12,37,0.32,20-21,3.4
Borja Iglesias,Betis,11,28,0.39,20-21,8.5
A. Budimir,Osasuna,11,30,0.37,20-21,9.6
Carlos Soler,Valencia,11,32,0.34,20-21,9.5
M. Oyarzabal,Sociedad,11,33,0.33,20-21,11.7
Joselu,Alaves,11,37,0.3,20-21,12.8
R. Soldado,Granada,9,29,0.31,20-21,5.7
Brais Méndez,Celta,9,34,0.26,20-21,8.2
Ángel Correa,Ath Madrid,9,38,0.24,20-21,7.8
Á. Negredo,Cadiz,8,35,0.23,20-21,5.7
Portu,Sociedad,8,37,0.22,20-21,5.9
Álex Berenguer,Ath Bilbao,8,35,0.23,20-21,6.3
Jorge Molina,Granada,8,33,0.24,20-21,6.0
Sergio Canales,Betis,8,31,0.26,20-21,5.5
G. Melero,Levante,7,29,0.24,20-21,3.7
João Félix,Ath Madrid,7,31,0.23,20-21,5.5
Maxi Gómez,Valencia,7,31,0.23,20-21,6.6
Lucas Boyé,Elche,7,34,0.21,20-21,5.2
Roberto Torres,Osasuna,7,35,0.2,20-21,6.5
Nolito,Celta,7,36,0.19,20-21,5.9
I. Williams,Ath Bilbao,6,38,0.16,20-21,6.2
Casemiro,Real Madrid,6,34,0.18,20-21,6.2
S. Weissman,Valladolid,6,32,0.19,20-21,5.6
Y. Carrasco,Ath Madrid,6,30,0.2,20-21,5.1
F. Orellana,Valladolid,6,30,0.2,20-21,6.0
O. Dembélé,Barcelona,6,30,0.2,20-21,5.5
Fidel,Elche,6,30,0.2,20-21,4.3
P. Alcácer,Villarreal,6,27,0.22,20-21,9.0
Sandro,Huesca,6,20,0.3,20-21,2.2
Óscar Plano,Valladolid,5,36,0.14,20-21,4.8
Luka Modrić,Real Madrid,5,35,0.14,20-21,2.3
M. Asensio,Real Madrid,5,35,0.14,20-21,3.8
Lucas Ocampos,Sevilla,5,34,0.15,20-21,11.2
Raúl García,Ath Bilbao,5,34,0.15,20-21,6.1
Nabil Fekir,Betis,5,33,0.15,20-21,7.2
J. Mata,Getafe,5,33,0.15,20-21,7.4
Édgar Méndez,Alaves,5,33,0.15,20-21,5.5
Ángel,Getafe,5,33,0.15,20-21,5.7
D. Machís,Granada,5,32,0.16,20-21,5.3
G. Guedes,Valencia,5,31,0.16,20-21,3.7
Manu Vallejo,Valencia,5,30,0.17,20-21,4.2
Cristian Tello,Betis,5,29,0.17,20-21,2.7
Iker Muniain,Ath Bilbao,5,28,0.18,20-21,4.8
Luis Suárez,Granada,5,27,0.19,20-21,6.4
J. Calleri,Osasuna,5,25,0.2,20-21,5.7
C. Bacca,Villarreal,5,23,0.22,20-21,3.2
Pere Milla,Elche,4,32,0.13,20-21,5.0
