Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,Referee,B365H,B365D,B365A,Home_PPDA,Away_PPDA
2015-12-12,Barcelona,La Coruna,2,2,D,17,13,7,4,6,2,4,11,0,2,0,0,José Sánchez,1.07,13.0,26.0,5.375,12.273
2015-12-12,Celta,Espanol,1,0,H,16,6,3,2,4,9,13,23,3,2,1,0,David Fernández,1.53,4.33,6.0,8.478,5.667
2015-12-12,Las Palmas,Betis,1,0,H,16,8,4,2,2,2,10,9,3,0,0,0,Jesús Gil,2.15,3.3,3.5,6.154,12.56
2015-12-12,Levante,Granada,1,2,A,7,8,5,3,2,1,25,27,2,2,0,0,Iñaki Bikandi,2.1,3.1,4.0,4.041,4.5
2015-12-12,Sevilla,Sp Gijon,2,0,H,18,4,7,1,3,1,13,10,3,2,0,1,Carlos del Cerro,1.36,5.0,8.5,3.871,22.5
2015-12-13,Ath Madrid,Ath Bilbao,2,1,H,8,10,4,5,3,6,13,10,1,1,0,0,Juan Martínez,1.57,3.75,7.0,12.652,9.0
2015-12-13,Eibar,Valencia,1,1,D,14,6,5,1,9,2,20,14,4,4,1,1,José González,2.45,3.2,3.0,5.105,5.303
2015-12-13,Vallecano,Malaga,1,2,A,13,15,3,5,6,7,13,17,1,2,0,0,Carlos Clos Gómez,2.3,3.25,3.25,6.444,5.5
2015-12-13,Villarreal,Real Madrid,1,0,H,7,20,3,1,3,9,11,9,2,2,0,0,Alberto Undiano,5.0,4.2,1.65,18.688,7.217
2015-12-19,Betis,Sevilla,0,0,D,12,8,0,2,8,8,23,19,7,5,0,0,Carlos Clos Gómez,3.75,3.5,2.0,6.067,3.808
2015-12-19,Espanol,Las Palmas,1,0,H,12,9,2,4,7,5,29,21,4,4,0,0,Mario Melero,2.05,3.4,3.75,5.319,7.516
2015-12-19,La Coruna,Eibar,2,0,H,13,13,3,1,9,8,10,11,0,2,1,0,Daniel Ask,2.0,3.3,4.0,13.0,5.281
2015-12-19,Valencia,Getafe,2,2,D,12,9,7,3,5,1,13,20,2,6,0,0,David Fernández,1.67,3.75,5.5,6.148,9.806
2015-12-20,Ath Bilbao,Levante,2,0,H,18,6,7,1,10,3,15,17,0,5,0,0,Alejandro Hernández,1.4,4.5,9.0,5.341,9.4
2015-12-20,Granada,Celta,0,2,A,11,10,1,4,9,3,17,11,4,2,0,0,Juan Martínez,3.2,3.3,2.3,6.531,5.639
2015-12-20,Malaga,Ath Madrid,1,0,H,17,6,4,3,4,1,9,13,3,4,0,1,Antonio Matéu Lahoz,5.25,3.5,1.75,5.355,7.485
2015-12-20,Real Madrid,Vallecano,10,2,H,30,9,15,4,10,4,12,12,1,2,0,2,Ignacio Iglesias,1.1,11.0,21.0,10.414,15.467
2015-12-20,Sociedad,Villarreal,0,2,A,16,7,2,5,9,1,12,21,2,1,0,0,Carlos del Cerro,2.4,3.2,3.1,14.333,10.774
2015-12-30,Barcelona,Betis,4,0,H,16,11,7,4,2,3,16,20,1,3,0,0,Iñaki Bikandi,1.06,13.0,26.0,5.156,11.552
2015-12-30,Celta,Ath Bilbao,0,1,A,7,13,3,5,3,3,11,11,3,4,0,0,Pedro Pérez,2.38,3.3,2.9,5.071,11.355
2015-12-30,Eibar,Sp Gijon,2,0,H,16,6,5,0,5,7,16,17,3,3,0,0,Carlos Velasco,1.85,3.5,4.2,2.909,7.478
2015-12-30,Getafe,La Coruna,0,0,D,15,10,5,3,9,2,9,8,3,1,0,0,Alberto Undiano,2.5,3.2,2.88,8.0,7.0
2015-12-30,Las Palmas,Granada,4,1,H,7,11,4,4,4,4,5,21,2,5,0,1,Santiago Jaime,2.0,3.3,3.75,8.409,9.517
2015-12-30,Levante,Malaga,0,1,A,7,9,1,5,6,5,20,12,7,5,0,0,Jesús Gil,2.75,3.0,2.75,6.207,4.966
2015-12-30,Real Madrid,Sociedad,3,1,H,23,13,13,2,13,2,12,9,1,4,0,0,José González,1.1,10.0,19.0,15.235,14.5
2015-12-30,Sevilla,Espanol,2,0,H,15,12,10,1,6,6,15,16,3,3,0,0,Ignacio Iglesias,1.4,4.75,7.0,9.679,7.857
2015-12-30,Vallecano,Ath Madrid,0,2,A,10,17,3,6,3,8,12,15,3,3,0,0,José Sánchez,6.5,3.8,1.53,4.633,6.026
2015-12-31,Villarreal,Valencia,1,0,H,9,6,3,2,3,6,21,19,1,3,0,0,Alfonso Álvarez,1.8,3.5,4.5,6.406,9.08
2016-01-02,Ath Madrid,Levante,1,0,H,16,9,2,1,13,1,12,14,0,4,0,0,Carlos Clos Gómez,1.2,6.5,17.0,5.919,7.926
2016-01-02,Espanol,Barcelona,0,0,D,4,10,1,2,6,10,22,10,5,3,0,0,José González,14.0,7.0,1.2,6.596,2.545
2016-01-02,Malaga,Celta,2,0,H,14,8,4,1,5,2,22,11,4,2,0,1,Iñaki Bikandi,2.4,3.3,3.0,6.879,7.125
2016-01-03,Ath Bilbao,Las Palmas,2,2,D,16,11,5,5,5,5,24,13,3,4,0,0,Carlos del Cerro,1.36,5.0,8.5,5.431,6.741
2016-01-03,Betis,Eibar,0,4,A,9,6,5,5,6,2,16,14,4,3,0,0,Eduardo Prieto,2.4,3.25,3.1,5.71,7.935
