Player,Team,Goals,Matches Played,Coefficient,Season
Toko Ekambi,Villarreal,10,34,0.29,18-19
Chimy Ávila,Huesca,10,34,0.29,18-19
Portu,Girona,9,34,0.26,18-19
Dani Parejo,Valencia,9,36,0.25,18-19
J. Calleri,Alaves,9,34,0.26,18-19
Raúl García,Ath Bilbao,9,33,0.27,18-19
André Silva,Sevilla,9,27,0.33,18-19
G. Lo Celso,Betis,9,32,0.28,18-19
G. Bale,Real Madrid,8,29,0.28,18-19
O. Dembélé,Barcelona,8,29,0.28,18-19
Y. En-Nesyri,Leganes,8,31,0.26,18-19
Rodrigo Moreno,Valencia,8,33,0.24,18-19
Gerard Moreno,Villarreal,8,35,0.23,18-19
Ángel,Getafe,8,37,0.22,18-19
Iker Muniain,Ath Bilbao,7,34,0.21,18-19
Sergi Enrich,Eibar,7,35,0.2,18-19
Santi Mina,Valencia,7,30,0.23,18-19
Sergio Canales,Betis,7,32,0.22,18-19
G. Carrillo,Leganes,6,32,0.19,18-19
Enes Ünal,Valladolid,6,33,0.18,18-19
Loren Morón,Betis,6,33,0.18,18-19
Kévin Gameiro,Valencia,6,33,0.18,18-19
C. Bacca,Villarreal,6,33,0.18,18-19
Á. Morata,Ath Madrid,6,15,0.4,18-19
Brais Méndez,Celta,6,31,0.19,18-19
Joaquín,Betis,6,30,0.2,18-19
Sergio Ramos,Real Madrid,6,28,0.21,18-19
Munir,Sevilla,6,23,0.26,18-19
Adrián Embarba,Vallecano,5,36,0.14,18-19
P. Coutinho,Barcelona,5,34,0.15,18-19
Juanmi,Sociedad,5,30,0.17,18-19
Borja Bastón,Alaves,5,27,0.19,18-19
S. Chukwueze,Villarreal,5,26,0.19,18-19
Enric Gallego,Huesca,5,19,0.26,18-19
G. Guedes,Valencia,5,25,0.2,18-19
Saúl,Ath Madrid,4,33,0.12,18-19
J. Campaña,Levante,4,36,0.11,18-19
Joan Jordán,Eibar,4,36,0.11,18-19
Jony,Alaves,4,36,0.11,18-19
Santi Cazorla,Villarreal,4,35,0.11,18-19
Álvaro García,Vallecano,4,35,0.11,18-19
Sergi Darder,Espanol,4,34,0.12,18-19
Cucho,Huesca,4,34,0.12,18-19
G. Piqué,Barcelona,4,35,0.11,18-19
G. Escalante,Eibar,4,32,0.13,18-19
