Season,Team,Date,h_a,PPDA,OPPDA
15-16,Espanyol,2016-03-03 23:30:00,h,4.764705882352941,10.444444444444445
15-16,Espanyol,2016-03-07 23:30:00,h,13.26923076923077,3.8846153846153846
15-16,Espanyol,2016-03-14 23:30:00,a,5.133333333333334,11.058823529411764
15-16,Espanyol,2016-03-20 15:00:00,h,12.434782608695652,6.269230769230769
15-16,Espanyol,2016-04-03 18:00:00,a,12.409090909090908,4.387096774193548
15-16,Espanyol,2016-04-09 20:15:00,h,6.166666666666667,10.521739130434783
15-16,Espanyol,2016-04-15 22:30:00,a,7.88,9.722222222222221
15-16,Espanyol,2016-04-19 22:00:00,h,9.473684210526315,4.888888888888889
15-16,Espanyol,2016-04-22 23:00:00,a,12.576923076923077,5.9375
15-16,Espanyol,2016-05-01 18:00:00,h,5.590909090909091,5.3478260869565215
15-16,Espanyol,2016-05-08 19:00:00,a,14.5,4.051282051282051
15-16,Espanyol,2016-05-15 21:00:00,h,9.0,6.84375
15-16,Getafe,2015-08-22 20:30:00,a,4.379310344827586,10.428571428571429
15-16,Getafe,2015-08-31 00:30:00,h,5.318181818181818,7.576923076923077
15-16,Getafe,2015-09-13 18:00:00,a,6.757575757575758,7.222222222222222
15-16,Getafe,2015-09-18 22:30:00,h,9.68,5.416666666666667
15-16,Getafe,2015-09-22 22:00:00,a,10.041666666666666,6.777777777777778
15-16,Getafe,2015-09-27 20:15:00,h,6.6,19.692307692307693
15-16,Getafe,2015-10-02 22:30:00,a,11.321428571428571,3.257142857142857
15-16,Getafe,2015-10-18 20:15:00,h,9.694444444444445,7.482758620689655
15-16,Getafe,2015-10-24 22:30:00,a,13.5,8.041666666666666
15-16,Getafe,2015-10-31 23:30:00,h,22.88235294117647,5.25
15-16,Getafe,2015-11-07 23:30:00,a,5.518518518518518,8.3
15-16,Getafe,2015-11-23 23:30:00,h,8.931034482758621,3.9642857142857144
15-16,Getafe,2015-11-29 15:00:00,h,11.476190476190476,4.242424242424242
15-16,Getafe,2015-12-05 19:00:00,a,20.473684210526315,10.041666666666666
15-16,Getafe,2015-12-11 23:30:00,h,10.285714285714286,6.08
15-16,Getafe,2015-12-19 19:00:00,a,9.806451612903226,6.148148148148148
15-16,Getafe,2015-12-30 23:30:00,h,8.0,7.0
15-16,Getafe,2016-01-04 23:30:00,a,5.1,7.583333333333333
15-16,Getafe,2016-01-09 21:15:00,h,5.931034482758621,5.176470588235294
15-16,Getafe,2016-01-17 21:15:00,h,22.8125,5.451612903225806
15-16,Getafe,2016-01-23 23:30:00,a,8.416666666666666,6.485714285714286
15-16,Getafe,2016-01-30 21:15:00,h,6.590909090909091,5.738095238095238
15-16,Getafe,2016-02-05 23:30:00,a,6.571428571428571,9.064516129032258
15-16,Getafe,2016-02-14 21:15:00,h,10.782608695652174,12.172413793103448
15-16,Getafe,2016-02-19 23:30:00,a,5.7407407407407405,8.173913043478262
15-16,Getafe,2016-02-27 21:15:00,h,7.208333333333333,7.52
15-16,Getafe,2016-03-02 01:00:00,a,11.642857142857142,6.709677419354839
15-16,Getafe,2016-03-05 23:30:00,h,9.65,6.310344827586207
15-16,Getafe,2016-03-12 19:00:00,a,20.1,5.517241379310345
15-16,Getafe,2016-03-18 23:30:00,h,8.76,4.53125
15-16,Getafe,2016-04-01 22:30:00,a,6.851851851851852,5.538461538461538
15-16,Getafe,2016-04-10 20:15:00,a,7.678571428571429,6.689655172413793
15-16,Getafe,2016-04-16 18:00:00,h,13.56,7.909090909090909
15-16,Getafe,2016-04-21 22:30:00,a,7.485714285714286,5.277777777777778
15-16,Getafe,2016-04-24 20:15:00,h,13.458333333333334,8.130434782608695
15-16,Getafe,2016-05-01 20:15:00,a,6.708333333333333,6.866666666666666
15-16,Getafe,2016-05-08 19:00:00,h,6.0,8.95
15-16,Getafe,2016-05-15 21:30:00,a,9.21875,8.047619047619047
15-16,Atletico Madrid,2015-08-22 22:30:00,h,7.666666666666667,11.76
15-16,Atletico Madrid,2015-08-30 22:30:00,a,10.6,6.7
15-16,Atletico Madrid,2015-09-12 22:30:00,h,13.5,10.125
15-16,Atletico Madrid,2015-09-19 22:30:00,a,7.566666666666666,10.911764705882353
15-16,Atletico Madrid,2015-09-22 22:00:00,h,6.777777777777778,10.041666666666666
15-16,Atletico Madrid,2015-09-26 22:30:00,a,10.827586206896552,12.19047619047619
15-16,Atletico Madrid,2015-10-04 22:30:00,h,9.314285714285715,8.4
15-16,Atletico Madrid,2015-10-18 18:00:00,a,10.541666666666666,6.857142857142857
15-16,Atletico Madrid,2015-10-25 23:30:00,h,5.452830188679245,8.857142857142858
15-16,Atletico Madrid,2015-10-30 23:30:00,a,9.958333333333334,15.64
15-16,Atletico Madrid,2015-11-08 21:15:00,h,2.888888888888889,16.375
15-16,Atletico Madrid,2015-11-22 23:30:00,a,8.185185185185185,11.76
15-16,Atletico Madrid,2015-11-28 21:15:00,h,7.484848484848484,6.451612903225806
15-16,Atletico Madrid,2015-12-05 21:15:00,a,9.821428571428571,11.214285714285714
15-16,Atletico Madrid,2015-12-13 21:15:00,h,12.652173913043478,9.0
15-16,Atletico Madrid,2015-12-20 23:30:00,a,7.484848484848484,5.354838709677419
15-16,Atletico Madrid,2015-12-30 21:15:00,a,6.0256410256410255,4.633333333333334
15-16,Atletico Madrid,2016-01-02 23:30:00,h,5.918918918918919,7.925925925925926
15-16,Atletico Madrid,2016-01-10 23:30:00,a,8.131578947368421,4.583333333333333
15-16,Atletico Madrid,2016-01-17 21:15:00,a,6.813559322033898,9.217391304347826
15-16,Atletico Madrid,2016-01-24 19:00:00,h,4.16,10.818181818181818
15-16,Atletico Madrid,2016-01-30 19:00:00,a,11.8125,4.107142857142857
15-16,Atletico Madrid,2016-02-06 19:00:00,h,7.285714285714286,7.461538461538462
15-16,Atletico Madrid,2016-02-14 21:15:00,a,12.172413793103448,10.782608695652174
15-16,Atletico Madrid,2016-02-21 23:30:00,h,6.235294117647059,7.857142857142857
15-16,Atletico Madrid,2016-02-27 19:00:00,a,14.185185185185185,2.891304347826087
15-16,Atletico Madrid,2016-03-02 00:00:00,h,9.966666666666667,12.16
15-16,Atletico Madrid,2016-03-06 23:30:00,a,6.696969696969697,8.258064516129032
15-16,Atletico Madrid,2016-03-12 23:30:00,h,12.863636363636363,15.461538461538462
15-16,Atletico Madrid,2016-03-19 19:00:00,a,12.28,5.818181818181818
15-16,Atletico Madrid,2016-04-02 18:00:00,h,7.102564102564102,11.222222222222221
15-16,Atletico Madrid,2016-04-09 20:15:00,a,10.521739130434783,6.166666666666667
15-16,Atletico Madrid,2016-04-17 20:15:00,h,4.979166666666667,14.736842105263158
15-16,Atletico Madrid,2016-04-20 22:45:00,a,11.878787878787879,5.5
15-16,Atletico Madrid,2016-04-23 20:15:00,h,6.184210526315789,6.916666666666667
15-16,Atletico Madrid,2016-04-30 20:15:00,h,7.153846153846154,5.115384615384615
15-16,Atletico Madrid,2016-05-08 19:00:00,a,13.958333333333334,12.75
15-16,Atletico Madrid,2016-05-14 21:30:00,h,8.675675675675675,7.6923076923076925
15-16,Las Palmas,2015-08-22 22:30:00,a,11.76,7.666666666666667
15-16,Las Palmas,2015-08-31 00:30:00,h,3.7142857142857144,8.735294117647058
15-16,Las Palmas,2015-09-13 20:15:00,a,19.789473684210527,4.0
15-16,Las Palmas,2015-09-20 22:30:00,h,6.739130434782608,5.2894736842105265
15-16,Las Palmas,2015-09-24 00:00:00,h,10.818181818181818,3.641025641025641
15-16,Las Palmas,2015-09-26 18:00:00,a,12.483870967741936,4.117647058823529
15-16,Las Palmas,2015-10-04 00:00:00,h,8.466666666666667,8.787878787878787
15-16,Las Palmas,2015-10-18 20:15:00,a,7.482758620689655,9.694444444444445
15-16,Las Palmas,2015-10-25 19:00:00,h,9.555555555555555,8.538461538461538
15-16,Las Palmas,2015-10-31 19:00:00,a,35.18181818181818,10.59375
15-16,Las Palmas,2015-11-06 23:30:00,h,9.545454545454545,6.135135135135135
15-16,Las Palmas,2015-11-22 01:00:00,a,8.0,10.342857142857143
15-16,Las Palmas,2015-11-29 01:00:00,h,5.708333333333333,13.84
15-16,Las Palmas,2015-12-06 21:15:00,a,6.611111111111111,10.5
15-16,Las Palmas,2015-12-13 01:05:00,h,6.153846153846154,12.56
15-16,Las Palmas,2015-12-19 21:15:00,a,7.516129032258065,5.319148936170213
15-16,Las Palmas,2015-12-31 00:00:00,h,8.409090909090908,9.517241379310345
15-16,Las Palmas,2016-01-03 21:15:00,a,6.7407407407407405,5.431034482758621
15-16,Las Palmas,2016-01-10 21:15:00,h,6.366666666666666,11.821428571428571
15-16,Las Palmas,2016-01-17 21:15:00,h,9.217391304347826,6.813559322033898
15-16,Las Palmas,2016-01-25 23:30:00,a,5.142857142857143,10.588235294117647
15-16,Las Palmas,2016-01-31 21:15:00,h,5.394736842105263,8.088235294117647
15-16,Las Palmas,2016-02-06 21:15:00,a,7.241379310344827,6.7272727272727275
15-16,Las Palmas,2016-02-14 19:00:00,a,10.217391304347826,6.2
15-16,Las Palmas,2016-02-20 19:00:00,h,16.5,9.233333333333333
15-16,Las Palmas,2016-02-26 23:30:00,a,13.538461538461538,5.634146341463414
15-16,Las Palmas,2016-03-02 01:00:00,h,6.709677419354839,11.642857142857142
15-16,Las Palmas,2016-03-05 21:15:00,a,16.736842105263158,9.545454545454545
15-16,Las Palmas,2016-03-13 23:30:00,h,11.115384615384615,11.48
15-16,Las Palmas,2016-03-19 21:15:00,a,12.136363636363637,5.866666666666666
15-16,Las Palmas,2016-04-02 20:15:00,h,5.482758620689655,10.9
15-16,Las Palmas,2016-04-11 22:30:00,a,11.375,12.193548387096774
15-16,Las Palmas,2016-04-16 20:15:00,h,9.45,6.9375
15-16,Las Palmas,2016-04-19 23:00:00,a,16.6,13.304347826086957
15-16,Las Palmas,2016-04-22 23:00:00,h,5.9375,12.576923076923077
15-16,Las Palmas,2016-05-01 00:05:00,a,9.555555555555555,12.448275862068966
15-16,Las Palmas,2016-05-08 19:00:00,h,12.533333333333333,11.45
15-16,Las Palmas,2016-05-15 14:00:00,a,7.095238095238095,11.096774193548388
15-16,Rayo Vallecano,2015-08-23 00:30:00,h,5.117647058823529,9.777777777777779
15-16,Rayo Vallecano,2015-08-30 00:00:00,a,30.214285714285715,6.21875
15-16,Rayo Vallecano,2015-09-14 22:30:00,h,8.866666666666667,11.451612903225806
